idx,sentence,label,fp32_pred,int8_pred,fp32_correct,int8_correct,flipped,fp32_logit_0,fp32_logit_1,int8_logit_0,int8_logit_1,fp32_margin,int8_margin,abs_logit0_diff,abs_logit1_diff
18,... the movie is just a plain old monster . ,0,0,0,True,True,False,2.051133155822754,-1.8210411071777344,1.0218899250030518,-0.9194798469543457,3.8721742630004883,1.9413697719573975,1.0292432308197021,0.9015612602233887
19,"in its best moments , resembles a bad high school production of grease , without benefit of song . ",0,0,0,True,True,False,0.506630003452301,-0.4849116802215576,0.7423355579376221,-0.7588844299316406,0.9915416836738586,1.5012199878692627,0.23570555448532104,0.273972749710083
20,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0,1,1,False,False,False,-0.13708847761154175,-0.03441634401679039,-0.17091597616672516,0.03281204774975777,0.10267213359475136,0.20372802391648293,0.03382749855518341,0.06722839176654816
21,the iditarod lasts for days - this just felt like it did . ,0,0,0,True,True,False,0.4665941894054413,-0.6442561745643616,0.29592519998550415,-0.48640650510787964,1.1108503639698029,0.7823317050933838,0.17066898941993713,0.15784966945648193
22,holden caulfield did it better . ,0,1,1,False,False,False,-1.646527886390686,1.5367847681045532,-1.4869741201400757,1.329025149345398,3.1833126544952393,2.8159992694854736,0.15955376625061035,0.20775961875915527
23,"a delectable and intriguing thriller filled with surprises , read my lips is an original . ",1,1,1,True,True,False,-2.7736527919769287,2.59342622756958,-2.5953562259674072,2.4420952796936035,5.367079019546509,5.037451505661011,0.17829656600952148,0.15133094787597656
24,seldom has a movie so closely matched the spirit of a man and his work . ,1,1,1,True,True,False,-0.34401366114616394,0.13515032827854156,-0.7428597211837769,0.5357937812805176,0.4791639894247055,1.2786535024642944,0.3988460600376129,0.400643453001976
25,"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ",0,0,0,True,True,False,1.0937349796295166,-1.1630675792694092,1.338192105293274,-1.4019486904144287,2.256802558898926,2.7401407957077026,0.24445712566375732,0.23888111114501953
26,"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ",0,0,0,True,True,False,0.9724536538124084,-0.9471033215522766,0.5003442168235779,-0.5190468430519104,1.919556975364685,1.0193910598754883,0.47210943698883057,0.4280564785003662
27,it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,1,1,1,True,True,False,-2.0597410202026367,1.9157553911209106,-1.9380793571472168,1.8152611255645752,3.9754964113235474,3.753340482711792,0.12166166305541992,0.10049426555633545
28,"it 's a cookie-cutter movie , a cut-and-paste job . ",0,1,1,False,False,False,-0.1071251779794693,-0.07833852618932724,-0.6409653425216675,0.4476533830165863,0.02878665179014206,1.0886187255382538,0.5338401645421982,0.5259919092059135
29,i had to look away - this was god awful . ,0,0,0,True,True,False,1.4786574840545654,-1.3347049951553345,0.8019565939903259,-0.8299800753593445,2.8133624792099,1.6319366693496704,0.6767008900642395,0.50472491979599
30,"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ",1,1,1,True,True,False,-2.728851795196533,2.5575594902038574,-2.561681032180786,2.4006025791168213,5.286411285400391,4.962283611297607,0.16717076301574707,0.15695691108703613
31,"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ",0,0,0,True,True,False,0.31405574083328247,-0.3671248257160187,0.30953192710876465,-0.34162500500679016,0.6811805665493011,0.6511569321155548,0.004523813724517822,0.025499820709228516
32,"a gorgeous , witty , seductive movie . ",1,1,1,True,True,False,-2.809702157974243,2.6058664321899414,-2.756936550140381,2.580109119415283,5.415568590164185,5.337045669555664,0.052765607833862305,0.025757312774658203
33,"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ",0,0,1,True,False,True,0.052962902933359146,-0.18606700003147125,-0.7525836229324341,0.5674815773963928,0.2390299029648304,1.320065200328827,0.8055465258657932,0.7535485774278641
34,"it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ",0,0,0,True,True,False,2.4383835792541504,-2.178764581680298,2.2004456520080566,-2.069352149963379,4.617148160934448,4.2697978019714355,0.23793792724609375,0.10941243171691895
35,a sequence of ridiculous shoot - 'em - up scenes . ,0,0,0,True,True,False,1.9673821926116943,-1.7846444845199585,1.0850515365600586,-1.1786571741104126,3.752026677131653,2.263708710670471,0.8823306560516357,0.6059873104095459
36,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ",1,1,1,True,True,False,-1.167703628540039,0.9248743057250977,-0.9673060774803162,0.7147089242935181,2.0925779342651367,1.6820150017738342,0.2003975510597229,0.2101653814315796
37,"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ",0,0,0,True,True,False,1.2623510360717773,-1.1600388288497925,0.26124632358551025,-0.33722224831581116,2.42238986492157,0.5984685719013214,1.001104712486267,0.8228165805339813
38,"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ",1,1,1,True,True,False,-2.438585042953491,2.2635433673858643,-2.4158058166503906,2.3359880447387695,4.7021284103393555,4.75179386138916,0.022779226303100586,0.07244467735290527
39,"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ",1,1,1,True,True,False,-2.635859489440918,2.486079692840576,-2.221911907196045,2.1135330200195312,5.121939182281494,4.335444927215576,0.41394758224487305,0.3725466728210449
40,"there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . ",1,1,1,True,True,False,-2.668346643447876,2.550696611404419,-2.5661027431488037,2.403562545776367,5.219043254852295,4.969665288925171,0.10224390029907227,0.14713406562805176
41,"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . ",1,1,1,True,True,False,-2.3785486221313477,2.209970474243164,-2.3551886081695557,2.197354793548584,4.588519096374512,4.55254340171814,0.023360013961791992,0.012615680694580078
42,the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . ,1,1,1,True,True,False,-1.7868655920028687,1.4976186752319336,-1.72873055934906,1.4769319295883179,3.2844842672348022,3.205662488937378,0.058135032653808594,0.020686745643615723
43,holm ... embodies the character with an effortlessly regal charisma . ,1,1,1,True,True,False,-2.6799662113189697,2.4944326877593994,-2.6023175716400146,2.43334698677063,5.174398899078369,5.0356645584106445,0.07764863967895508,0.06108570098876953
44,"the title not only describes its main characters , but the lazy people behind the camera as well . ",0,0,0,True,True,False,0.7016490697860718,-0.8557330965995789,0.19419772922992706,-0.38529911637306213,1.5573821663856506,0.5794968456029892,0.5074513405561447,0.4704339802265167
45,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ,0,1,1,False,False,False,-0.8342028856277466,0.6645728945732117,-1.0485193729400635,0.8601553440093994,1.4987757802009583,1.908674716949463,0.2143164873123169,0.19558244943618774
46,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ,0,1,1,False,False,False,-0.7367008328437805,0.6309603452682495,-0.38369274139404297,0.31625935435295105,1.36766117811203,0.699952095746994,0.35300809144973755,0.31470099091529846
47,a subtle and well-crafted ( for the most part ) chiller . ,1,1,1,True,True,False,-2.736893892288208,2.5405328273773193,-2.563994884490967,2.4100677967071533,5.277426719665527,4.97406268119812,0.1728990077972412,0.13046503067016602
48,has a lot of the virtues of eastwood at his best . ,1,1,1,True,True,False,-2.544919013977051,2.4055495262145996,-2.4322938919067383,2.3011770248413086,4.95046854019165,4.733470916748047,0.1126251220703125,0.10437250137329102
49,it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,0,0,0,True,True,False,1.0460991859436035,-0.9420866370201111,0.29305535554885864,-0.2889353334903717,1.9881858229637146,0.5819906890392303,0.7530438303947449,0.6531513035297394
50,"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ",0,1,1,False,False,False,-0.7016406059265137,0.5196368098258972,-0.7892192602157593,0.6572077870368958,1.2212774157524109,1.446427047252655,0.0875786542892456,0.13757097721099854
51,"for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . ",1,1,1,True,True,False,-2.592895030975342,2.404599666595459,-2.436509609222412,2.2083547115325928,4.997494697570801,4.644864320755005,0.1563854217529297,0.1962449550628662
52,"mr. tsai is a very original artist in his medium , and what time is it there ? ",1,1,1,True,True,False,-1.4455647468566895,1.27449369430542,-1.1112991571426392,0.9516578316688538,2.7200584411621094,2.062956988811493,0.3342655897140503,0.32283586263656616
53,sade is an engaging look at the controversial eponymous and fiercely atheistic hero . ,1,1,1,True,True,False,-2.5589420795440674,2.3663158416748047,-2.279242753982544,2.1232621669769287,4.925257921218872,4.402504920959473,0.27969932556152344,0.24305367469787598
54,so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ,0,0,0,True,True,False,1.3809562921524048,-1.3975398540496826,0.9531624913215637,-1.0607621669769287,2.7784961462020874,2.0139246582984924,0.42779380083084106,0.3367776870727539
55,"a tender , heartfelt family drama . ",1,1,1,True,True,False,-2.7594082355499268,2.550236463546753,-2.731541872024536,2.5372209548950195,5.30964469909668,5.268762826919556,0.027866363525390625,0.013015508651733398
56,... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ,0,0,0,True,True,False,1.6799888610839844,-1.515810251235962,1.5354163646697998,-1.387789249420166,3.1957991123199463,2.923205614089966,0.14457249641418457,0.1280210018157959
57,the cold turkey would 've been a far better title . ,0,0,0,True,True,False,0.3554677367210388,-0.529935896396637,0.3429822027683258,-0.546920895576477,0.8854036331176758,0.8899030983448029,0.012485533952713013,0.016984999179840088
58,manages to be both repulsively sadistic and mundane . ,0,0,0,True,True,False,0.15181216597557068,-0.2884506285190582,0.39468133449554443,-0.5489959120750427,0.4402627944946289,0.9436772465705872,0.24286916851997375,0.2605452835559845
59,"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ",0,0,0,True,True,False,0.995917797088623,-0.9249973893165588,0.28218355774879456,-0.30364060401916504,1.9209151864051819,0.5858241617679596,0.7137342393398285,0.6213567852973938
60,"this is a story of two misfits who do n't stand a chance alone , but together they are magnificent . ",1,1,1,True,True,False,-2.7259058952331543,2.592700958251953,-2.532202959060669,2.4762814044952393,5.318606853485107,5.008484363555908,0.19370293617248535,0.11641955375671387
61,"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ",0,0,0,True,True,False,0.6054385304450989,-0.6783815026283264,0.12937912344932556,-0.24398599565029144,1.2838200330734253,0.373365119099617,0.4760594069957733,0.434395506978035
62,the primitive force of this film seems to bubble up from the vast collective memory of the combatants . ,1,1,0,True,False,True,-0.3262510597705841,0.17902611196041107,0.05216023698449135,-0.16490380465984344,0.5052771717309952,0.2170640416443348,0.37841129675507545,0.3439299166202545
63,"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion . ",1,1,1,True,True,False,-2.2828586101531982,2.1874842643737793,-2.137359619140625,2.065606117248535,4.4703428745269775,4.20296573638916,0.14549899101257324,0.12187814712524414
64,"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . ",0,1,1,False,False,False,-1.075387954711914,0.9321208596229553,-0.547081470489502,0.45042550563812256,2.0075088143348694,0.9975069761276245,0.5283064842224121,0.48169535398483276
65,you wonder why enough was n't just a music video rather than a full-length movie . ,0,0,0,True,True,False,0.4464232921600342,-0.6332961320877075,0.25133058428764343,-0.4693734645843506,1.0797194242477417,0.720704048871994,0.19509270787239075,0.16392266750335693
66,"if you 're hard up for raunchy college humor , this is your ticket right here . ",1,1,1,True,True,False,-0.8032432198524475,0.5737257599830627,-0.858636200428009,0.6667609810829163,1.3769689798355103,1.5253971815109253,0.05539298057556152,0.09303522109985352
67,"a fast , funny , highly enjoyable movie . ",1,1,1,True,True,False,-2.812382698059082,2.6389377117156982,-2.7663662433624268,2.606431722640991,5.45132040977478,5.372797966003418,0.04601645469665527,0.03250598907470703
68,good old-fashioned slash-and-hack is back ! ,1,1,1,True,True,False,-0.5020995736122131,0.36236318945884705,-0.2831318974494934,0.1626606285572052,0.8644627630710602,0.4457925260066986,0.21896767616271973,0.19970256090164185
69,"this one is definitely one to skip , even for horror movie fanatics . ",0,0,0,True,True,False,0.27827998995780945,-0.31755685806274414,0.3232897222042084,-0.3823818266391754,0.5958368480205536,0.7056715488433838,0.045009732246398926,0.06482496857643127
70,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ",0,0,0,True,True,False,0.20594152808189392,-0.31828150153160095,-0.027445772662758827,-0.12592048943042755,0.5242230296134949,0.09847471676766872,0.23338730074465275,0.1923610121011734
71,"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . ",1,1,1,True,True,False,-2.7519068717956543,2.537060499191284,-2.5915184020996094,2.4397659301757812,5.2889673709869385,5.031284332275391,0.16038846969604492,0.09729456901550293
72,uses high comedy to evoke surprising poignance . ,1,1,1,True,True,False,-2.3259975910186768,2.124066114425659,-2.208984375,2.0387625694274902,4.450063705444336,4.24774694442749,0.11701321601867676,0.08530354499816895
73,"one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others . ",1,1,1,True,True,False,-0.922703206539154,0.6682897806167603,-1.2315082550048828,1.029523491859436,1.5909929871559143,2.261031746864319,0.30880504846572876,0.3612337112426758
74,a string of rehashed sight gags based in insipid vulgarity . ,0,0,0,True,True,False,1.9472661018371582,-1.7979896068572998,1.6250076293945312,-1.5709128379821777,3.745255708694458,3.195920467376709,0.32225847244262695,0.22707676887512207
75,among the year 's most intriguing explorations of alientation . ,1,1,1,True,True,False,-2.6720645427703857,2.430100679397583,-2.4559686183929443,2.2725319862365723,5.102165222167969,4.728500604629517,0.2160959243774414,0.15756869316101074
76,the movie fails to live up to the sum of its parts . ,0,0,0,True,True,False,2.5006673336029053,-2.1365301609039307,2.3836851119995117,-2.079657554626465,4.637197494506836,4.463342666625977,0.11698222160339355,0.05687260627746582
77,the son 's room is a triumph of gentility that earns its moments of pathos . ,1,1,1,True,True,False,-2.1419012546539307,2.071631908416748,-1.5077201128005981,1.4815605878829956,4.213533163070679,2.9892807006835938,0.6341811418533325,0.5900713205337524
78,"there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . ",1,1,1,True,True,False,-2.651278495788574,2.4498696327209473,-2.3826310634613037,2.2454161643981934,5.1011481285095215,4.628047227859497,0.2686474323272705,0.2044534683227539
79,this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . ,0,0,0,True,True,False,1.1781468391418457,-1.1098679304122925,1.0159406661987305,-1.0306017398834229,2.288014769554138,2.0465424060821533,0.16220617294311523,0.07926619052886963
80,the draw ( for `` big bad love '' ) is a solid performance by arliss howard . ,1,1,1,True,True,False,-2.631641387939453,2.4630703926086426,-2.04656720161438,1.9228482246398926,5.094711780548096,3.9694154262542725,0.5850741863250732,0.54022216796875
81,"green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . ",0,0,0,True,True,False,1.240304708480835,-1.1911453008651733,1.0387972593307495,-1.0133845806121826,2.4314500093460083,2.052181839942932,0.20150744915008545,0.17776072025299072
82,it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . ,0,0,0,True,True,False,0.10466600954532623,-0.2561294734477997,0.1552635282278061,-0.2874475121498108,0.3607954829931259,0.4427110403776169,0.05059751868247986,0.03131803870201111
83,"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . ",1,0,0,False,False,False,0.5258046388626099,-0.6172283887863159,0.11706002056598663,-0.32546088099479675,1.1430330276489258,0.4425209015607834,0.40874461829662323,0.29176750779151917
84,"the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) . ",1,1,1,True,True,False,-2.5121169090270996,2.3671047687530518,-2.0759005546569824,2.000493049621582,4.879221677780151,4.0763936042785645,0.4362163543701172,0.3666117191314697
85,the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them . ,1,1,1,True,True,False,-2.212655544281006,2.0893614292144775,-2.116619825363159,2.0091917514801025,4.302016973495483,4.125811576843262,0.09603571891784668,0.080169677734375
86,"the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . ",0,0,0,True,True,False,2.0288708209991455,-1.8375146389007568,1.238966703414917,-1.174344778060913,3.8663854598999023,2.41331148147583,0.7899041175842285,0.6631698608398438
87,jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters ,1,1,1,True,True,False,-0.529853343963623,0.31246036291122437,-0.31839719414711,0.13786880671977997,0.8423137068748474,0.45626600086688995,0.21145614981651306,0.1745915561914444
88,fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . ,1,1,1,True,True,False,-1.5196136236190796,1.2891076803207397,-0.8552024960517883,0.7015138268470764,2.8087213039398193,1.5567163228988647,0.6644111275672913,0.5875938534736633
89,"we know the plot 's a little crazy , but it held my interest from start to finish . ",1,1,1,True,True,False,-1.1531460285186768,0.9020034074783325,-0.7914604544639587,0.575384259223938,2.0551494359970093,1.3668447136878967,0.361685574054718,0.32661914825439453
90,"it 's a scattershot affair , but when it hits its mark it 's brilliant . ",1,1,1,True,True,False,-2.747746706008911,2.597590684890747,-2.444772481918335,2.3295650482177734,5.345337390899658,4.774337530136108,0.30297422409057617,0.26802563667297363
91,"hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people . ",1,1,1,True,True,False,-2.669832944869995,2.5266661643981934,-2.4555890560150146,2.3239121437072754,5.1964991092681885,4.77950119972229,0.21424388885498047,0.20275402069091797
92,"you wo n't like roger , but you will quickly recognize him . ",0,1,1,False,False,False,-1.2924405336380005,1.0977530479431152,-1.482301115989685,1.2768042087554932,2.3901935815811157,2.7591053247451782,0.18986058235168457,0.17905116081237793
93,if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . ,1,1,0,True,False,True,-0.7411750555038452,0.7044963240623474,1.369702696800232,-1.2278404235839844,1.4456713795661926,2.5975431203842163,2.110877752304077,1.9323367476463318
94,"byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama . ",1,1,1,True,True,False,-1.8087263107299805,1.6410646438598633,-1.1722161769866943,1.1307648420333862,3.4497909545898438,2.3029810190200806,0.6365101337432861,0.510299801826477
95,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,0,1,1,False,False,False,-2.1073012351989746,1.7349181175231934,-1.9370490312576294,1.5822805166244507,3.842219352722168,3.51932954788208,0.17025220394134521,0.15263760089874268
96,"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . ",0,0,1,True,False,True,-0.003926118835806847,-0.20942795276641846,-0.1944757103919983,-0.02418394573032856,0.2055018339306116,0.17029176466166973,0.19054959155619144,0.1852440070360899
97,"no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . ",1,1,1,True,True,False,-0.9742040634155273,0.8598982095718384,-1.0786700248718262,0.9106897115707397,1.8341022729873657,1.989359736442566,0.10446596145629883,0.05079150199890137
98,"on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . ",0,0,0,True,True,False,2.5375308990478516,-2.1990396976470947,1.5761889219284058,-1.4093064069747925,4.736570596694946,2.9854953289031982,0.9613419771194458,0.7897332906723022
99,why make a documentary about these marginal historical figures ? ,0,0,0,True,True,False,0.8359373211860657,-0.890001118183136,0.8887901902198792,-0.927982747554779,1.7259384393692017,1.8167729377746582,0.05285286903381348,0.037981629371643066
100,"neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula . ",1,1,1,True,True,False,-2.6286849975585938,2.500642776489258,-2.2497544288635254,2.2214457988739014,5.129327774047852,4.471200227737427,0.37893056869506836,0.27919697761535645
101,"his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . ",0,0,0,True,True,False,0.6770045757293701,-0.6862006783485413,0.8284282088279724,-0.8605064749717712,1.3632052540779114,1.6889346837997437,0.1514236330986023,0.17430579662322998
102,"does paint some memorable images ... , but makhmalbaf keeps her distance from the characters ",1,1,1,True,True,False,-1.4300129413604736,1.289711833000183,-1.2472963333129883,1.098781704902649,2.7197247743606567,2.346078038215637,0.18271660804748535,0.19093012809753418
103,"a gripping movie , played with performances that are all understated and touching . ",1,1,1,True,True,False,-2.73486328125,2.597891092300415,-2.614824056625366,2.5127367973327637,5.332754373550415,5.12756085395813,0.12003922462463379,0.08515429496765137
104,"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . ",1,1,1,True,True,False,-0.599371612071991,0.3843703866004944,-0.7549570202827454,0.6060841679573059,0.9837419986724854,1.3610411882400513,0.1555854082107544,0.22171378135681152
105,"combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . ",0,0,0,True,True,False,0.9171572327613831,-0.9519526362419128,0.29905351996421814,-0.42557355761528015,1.869109869003296,0.7246270775794983,0.6181037127971649,0.5263790786266327
106,the movie 's relatively simple plot and uncomplicated morality play well with the affable cast . ,1,1,1,True,True,False,-1.62761390209198,1.5426843166351318,-1.0337738990783691,0.9116270542144775,3.170298218727112,1.9454009532928467,0.5938400030136108,0.6310572624206543
107,what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about . ,0,1,1,False,False,False,-0.36987781524658203,0.24779756367206573,-0.3763294517993927,0.24107293784618378,0.6176753789186478,0.6174023896455765,0.006451636552810669,0.006724625825881958
108,"too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance . ",0,0,0,True,True,False,0.5787655115127563,-0.6379430890083313,0.24043729901313782,-0.3413829803466797,1.2167086005210876,0.5818202793598175,0.33832821249961853,0.2965601086616516
109,it 's great escapist fun that recreates a place and time that will never happen again . ,1,1,1,True,True,False,-2.6498517990112305,2.495244264602661,-2.4469568729400635,2.3171019554138184,5.145096063613892,4.764058828353882,0.202894926071167,0.17814230918884277
110,"scores no points for originality , wit , or intelligence . ",0,0,0,True,True,False,2.307555675506592,-2.0244007110595703,1.594345211982727,-1.4279612302780151,4.331956386566162,3.022306442260742,0.7132104635238647,0.5964394807815552
111,"there is n't nearly enough fun here , despite the presence of some appealing ingredients . ",0,0,0,True,True,False,0.9208236336708069,-0.9848487377166748,0.4931468963623047,-0.6520565748214722,1.9056723713874817,1.1452034711837769,0.4276767373085022,0.33279216289520264
112,hilariously inept and ridiculous . ,1,0,0,False,False,False,2.272307872772217,-2.0464630126953125,2.0402989387512207,-1.9115264415740967,4.318770885467529,3.9518253803253174,0.2320089340209961,0.13493657112121582
113,this movie is maddening . ,0,0,0,True,True,False,2.0767507553100586,-1.848163366317749,1.4703706502914429,-1.4372575283050537,3.9249141216278076,2.9076281785964966,0.6063801050186157,0.4109058380126953
